Descriptor,Model,Repeat,Fold,ROC_AUC,PR_AUC,Accuracy,Sensitivity,Specificity,GMean,Precision,F1,MCC,Kappa
Morgan,KNN,1,1,0.6701018715944088,0.6297285285730159,0.6692307692307692,0.6417910447761194,0.6984126984126984,0.6695035589145097,0.6935483870967742,0.6666666666666666,0.34040541713100064,0.3393996691089578
Morgan,KNN,1,2,0.6751954513148544,0.6293631945645849,0.676923076923077,0.7313432835820896,0.6190476190476191,0.672856833515095,0.6712328767123288,0.7,0.3529081110158813,0.3513898788310763
Morgan,KNN,1,3,0.7093105899076049,0.6666776936698515,0.7076923076923077,0.6567164179104478,0.7619047619047619,0.707358018281413,0.7457627118644068,0.6984126984126984,0.42021707287372423,0.4170403587443946
Morgan,KNN,1,4,0.6565979625681118,0.6221924565208148,0.6538461538461539,0.5671641791044776,0.746031746031746,0.6504786567013366,0.7037037037037037,0.628099173553719,0.31762896761742226,0.3112785495643985
Morgan,KNN,1,5,0.6019900497512439,0.577817390778899,0.6,0.5373134328358209,0.6666666666666666,0.5985056016645798,0.631578947368421,0.5806451612903226,0.205445492619793,0.20301815609526053
Morgan,KNN,2,1,0.6850272447287371,0.6414789035591275,0.6846153846153846,0.6716417910447762,0.6984126984126984,0.6848964561525486,0.703125,0.6870229007633588,0.3699230547207918,0.3695292169387273
Morgan,KNN,2,2,0.6537550343520493,0.6147340221967088,0.6538461538461539,0.6567164179104478,0.6507936507936508,0.6537483270709527,0.6666666666666666,0.6616541353383458,0.3074008482891087,0.3073644328676296
Morgan,KNN,2,3,0.62485193082208,0.5946672473177876,0.6230769230769231,0.5671641791044776,0.6825396825396826,0.6221832999638047,0.6551724137931034,0.608,0.2510456438006823,0.24864354800660537
Morgan,KNN,2,4,0.6500829187396351,0.6192881745120551,0.6461538461538462,0.5223880597014925,0.7777777777777778,0.6374180921595118,0.7142857142857143,0.603448275862069,0.30954827582840533,0.2976274371623209
Morgan,KNN,2,5,0.6607438995498697,0.6192499043245312,0.6615384615384615,0.6865671641791045,0.6349206349206349,0.6602390929021522,0.6666666666666666,0.6764705882352942,0.3219457591596752,0.3217927436566279
Morgan,KNN,3,1,0.5837479270315091,0.56361669911313,0.5846153846153846,0.6119402985074627,0.5555555555555556,0.5830667478978251,0.5942028985507246,0.6029411764705882,0.16773445226668413,0.1676547308513161
Morgan,KNN,3,2,0.7144041696280502,0.6638182712809578,0.7153846153846154,0.746268656716418,0.6825396825396826,0.7136931918160206,0.7142857142857143,0.7299270072992701,0.4298790234178132,0.4294187425860023
Morgan,KNN,3,3,0.6948590381426203,0.6561736770691995,0.6923076923076923,0.6119402985074627,0.7777777777777778,0.6898938798871928,0.7454545454545455,0.6721311475409836,0.39422689528631066,0.3875147232037691
Morgan,KNN,3,4,0.6650082918739635,0.6314130703946331,0.6615384615384615,0.5522388059701493,0.7777777777777778,0.6553770451504356,0.7254901960784313,0.6271186440677966,0.33778845855123596,0.32753350576063955
Morgan,KNN,3,5,0.7162994551054253,0.6709270027036035,0.7153846153846154,0.6865671641791045,0.746031746031746,0.7156821223564284,0.7419354838709677,0.7131782945736435,0.43285535632396044,0.43157645946584733
Morgan,KNN,4,1,0.6770907367922293,0.6342135476463835,0.676923076923077,0.6716417910447762,0.6825396825396826,0.6770688110082205,0.6923076923076923,0.6818181818181818,0.35401377401370104,0.3538461538461538
Morgan,KNN,4,2,0.609452736318408,0.5830595035432915,0.6076923076923076,0.5522388059701493,0.6666666666666666,0.6067612413298162,0.6379310344827587,0.592,0.22008175984044634,0.21797593772116075
Morgan,KNN,4,3,0.6383558398483771,0.6027519743937655,0.6384615384615384,0.6417910447761194,0.6349206349206349,0.6383465967917674,0.6515151515151515,0.6466165413533834,0.276613398152295,0.2765806298839687
Morgan,KNN,4,4,0.7107320540156361,0.6733877780906787,0.7076923076923077,0.6119402985074627,0.8095238095238095,0.7038325380720178,0.7735849056603774,0.6833333333333333,0.42863237895893425,0.41868674982348786
Morgan,KNN,4,5,0.6393034825870648,0.6046701974000962,0.6384615384615384,0.6119402985074627,0.6666666666666666,0.6387176207096333,0.6612903225806451,0.6356589147286822,0.27877212433569415,0.27794847553769797
Morgan,KNN,5,1,0.6616915422885574,0.6214695752009185,0.6615384615384615,0.6567164179104478,0.6666666666666666,0.6616728385491064,0.676923076923077,0.6666666666666666,0.32322996757772704,0.32307692307692304
Morgan,KNN,5,2,0.6015162283819001,0.5770884819708497,0.6,0.5522388059701493,0.6507936507936508,0.599494377494268,0.6271186440677966,0.5873015873015873,0.20380646941300604,0.2022657540712769
