details,kappa,kappa-lb,kappa-ub,accuracy,accuracy-lb,accuracy-ub,recall,recall-lb,recall-ub,specificity,specificity-lb,specificity-ub,kappa_val,train_time,pred_time,pred_time_normalized,pred_time_small_compounds,pred_time_small_compounds_normalized,pred_time_large_compounds,pred_time_large_compounds_normalized,pred_time_representative-2500,pred_time_representative-2500_normalized,pred_time_representative-5000,pred_time_representative-5000_normalized,pred_time_representative-10000,pred_time_representative-10000_normalized,pred_time_representative-20000,pred_time_representative-20000_normalized
Mordred-XGBoost,0.3884559116903844,0.2784231324955694,0.4964494099859565,0.7003610108303249,0.6462093862815884,0.7545126353790613,0.7763157894736842,0.7057474079606462,0.8385093167701864,0.608,0.5206611570247934,0.692866193410452,0.389,5220.912351457053,0.1681449823081493,0.0006070215967803,0.2659436860121786,5.318873720243573e-05,0.3015626710839569,6.031253421679139e-05,0.3006865791976452,0.000120274631679,0.3729627397842705,7.45925479568541e-05,0.6280567129142582,6.280567129142583e-05,1.1053008479066193,5.5265042395330966e-05
"Ensemble: Mordred-XGBoost, Mordred-RandomForest, Mordred-LightGBM, Mordred-LogisticRegression, Mordred-KNN",0.4040479162793169,0.29180662273782704,0.5102190588871623,0.7075812274368231,0.6534296028880866,0.7581227436823105,0.7763157894736842,0.7031800069539317,0.8366013071895425,0.624,0.5378151260504201,0.7073170731707317,0.3839646929018021,5363.674170841114,0.2464390685781836,0.000889671727719,0.6677858456969261,0.0001335571691393,0.7560039926320314,0.0001512007985264,0.5399778801947832,0.0002159911520779,0.7870790809392929,0.0001574158161878,1.4146817768923938,0.0001414681776892,2.638967983890325,0.0001319483991945
