Metric,Value
ROC_AUC,0.8967437823957392
PR_AUC,0.672812382507465
Accuracy,0.8940677966101694
Sensitivity,0.5378151260504201
Specificity,0.9626111560226354
GMean,0.7195184780211376
Precision,0.7345767575322812
F1,0.6209824135839903
MCC,0.5703351368695175
Kappa,0.5611170276833692
