Metric,Value
ROC_AUC,0.8584045369703615
PR_AUC,0.7608934405217573
Accuracy,0.7969130787977254
Sensitivity,0.6542372881355932
Specificity,0.8769816106531388
GMean,0.757465557433798
Precision,0.7490297542043984
F1,0.6984318455971049
MCC,0.5492327522233452
Kappa,0.5463901722538181
