Metric,Value
ROC_AUC,0.8882511800210589
PR_AUC,0.8156208988726082
Accuracy,0.837441563960901
Sensitivity,0.669328010645376
Specificity,0.9163284420855448
GMean,0.7831502366972088
Precision,0.7896389324960753
F1,0.7245228664025928
MCC,0.6145292212925416
Kappa,0.6103342404381119
