Metric,Value
ROC_AUC,0.9273322265937433
PR_AUC,0.774292914049148
Accuracy,0.9125888749477207
Sensitivity,0.6045883940620783
Specificity,0.9690670626082653
GMean,0.7654323609051205
Precision,0.7818499127399651
F1,0.6818873668188736
MCC,0.6392016455502355
Kappa,0.6321783495468281
