Metric,Value
ROC_AUC,0.8972393388982431
PR_AUC,0.9038412210335683
Accuracy,0.8257429563874952
Sensitivity,0.82619926199262
Specificity,0.8252427184466019
GMean,0.8257208517079886
Precision,0.8382628229127668
F1,0.8321873257758781
MCC,0.651064956851528
Kappa,0.6509909884913856
