Metric,Value
ROC_AUC,0.9420733427362482
PR_AUC,0.9565384242560937
Accuracy,0.8800468110005851
Sensitivity,0.913
Specificity,0.8335684062059239
GMean,0.8723806249946227
Precision,0.8855480116391853
F1,0.8990645002461841
MCC,0.7518800215938418
Kappa,0.7513483167598666
