Metric,Value
ROC_AUC,0.8856580715122218
PR_AUC,0.6078292696625394
Accuracy,0.9090162588273937
Sensitivity,0.40443213296398894
Specificity,0.9768958449785727
GMean,0.6285603155372939
Precision,0.7019230769230769
F1,0.5131810193321616
MCC,0.4886298676790802
Kappa,0.46697251736488044
