Metric,Value
ROC_AUC,0.932586904629428
PR_AUC,0.8374262563145661
Accuracy,0.8895518430124635
Sensitivity,0.6792986425339367
Specificity,0.9539314166955317
GMean,0.8049871529606853
Precision,0.8186775732788003
F1,0.7425038639876352
MCC,0.6777239674251027
Kappa,0.6729755331538743
