framework,dataset,featurization,smoothing_factor,distance_threshold,coverage,kappa,kappa-lb,kappa-ub,accuracy,accuracy-lb,accuracy-ub,recall,recall-lb,recall-ub,specificity,specificity-lb,specificity-ub,kappa_val,train_time,pred_time,pred_time_normalized,pred_time_small_compounds_normalized,pred_time_large_compounds_normalized,pred_time_representative-2500_normalized,pred_time_representative-5000_normalized,pred_time_representative-10000_normalized,pred_time_representative-20000_normalized,details,pred_time_small_compounds,pred_time_large_compounds,pred_time_representative-2500,pred_time_representative-5000,pred_time_representative-10000,pred_time_representative-20000,train_time_normalized
vnn,bbb,morgan_fp,0.2399999999999999,1.0,1.0,0.2356115107913668,0.0110451983385795,0.4705882352941176,0.6323529411764706,0.5147058823529411,0.7352941176470589,0.7631578947368421,0.6052631578947368,0.8823529411764706,0.4666666666666667,0.2857142857142857,0.6556885592020351,0.6604955590558846,8.232258629053831,0.0025123979430645,3.6947028574478975e-05,3.1726448005065324e-05,3.090028059668839e-05,3.133199401199817e-05,2.827541916631162e-05,2.905144200194627e-05,3.155617950251326e-05,,,,,,,,0.03048984677427345
vnn,herg,morgan_fp,0.2999999999999999,1.0,1.0,0.5835393853761921,0.4345359869565622,0.7100690229538096,0.7938931297709924,0.7175572519083969,0.8549618320610687,0.6666666666666666,0.5428571428571428,0.7771964188064813,0.9117647058823528,0.8194444444444444,0.9672131147540984,0.678396294234545,9.041683106916024,0.0072053160984069,5.500241296493825e-05,3.447915357537568e-05,4.607729259878397e-05,4.478121204301715e-05,4.253153097815812e-05,4.615237000398338e-05,4.9510804854799065e-05,,,,,,,,0.017222253536982902
vnn,pgp_substrates,morgan_fp,0.2599999999999999,1.0,1.0,0.4074074074074074,0.2628803169391467,0.5430556788691566,0.7037037037037037,0.6296296296296297,0.7716049382716049,0.8024691358024691,0.704225352112676,0.8795180722891566,0.6049382716049383,0.4939759036144578,0.7080177945794802,0.3714880357922904,9.819499354925938,0.0094232959672808,5.816849362519053e-05,4.490417158231139e-05,6.028295676223934e-05,5.18107051961124e-05,5.475791580975056e-05,5.900158591102809e-05,5.863540180725977e-05,,,,,,,,0.015106922084501442
vnn,dili,morgan_fp,0.2899999999999999,1.0,1.0,0.3068105373624303,0.1937793499470248,0.4169749346549138,0.6642599277978339,0.6064981949458483,0.7184115523465704,0.7960526315789473,0.7254901960784313,0.8535031847133758,0.504,0.4173228346456692,0.592,0.3410440193554808,19.82640062400605,0.0217843640130013,7.86439134043369e-05,6.178283481858671e-05,8.223703922703862e-05,7.375578647479415e-05,7.550366818904877e-05,8.584402150008828e-05,8.620908990269527e-05,,,,,,,,0.017861622183789234
vnn,pgp_inhibitors,morgan_fp,0.11,1.0,1.0,0.4474535539328959,0.360181230479055,0.5305031947239175,0.7377049180327869,0.6932084309133489,0.7775175644028103,0.8247011952191236,0.775,0.8686218090892592,0.6136363636363636,0.5397727272727273,0.6836158192090396,0.5912687452973343,32.9710093990434,0.0491936411708593,0.000115207590564,9.67627267818898e-05,0.0001286356701981,0.0001103017144836,0.0001185227384325,0.0001260846887016,0.0001261669535539,,,,,,,,0.019292574253389937
vnn,hlm,morgan_fp,0.1899999999999999,1.0,1.0,0.4321522644234854,0.3583282819051718,0.5018222372222693,0.734959349593496,0.697560975609756,0.767479674796748,0.5967078189300411,0.5324675324675324,0.657258064516129,0.8252688172043011,0.784366576819407,0.8630770722300225,0.5246693600395189,72.7304205649998,0.1049993399064987,0.0001707306339943,0.00014577816003,0.0001964621707797,0.0001650192627683,0.0001797395088244,0.0001794162844074,0.0001792954933014,,,,,,,,0.02954119438058481
vnn,cytotox,morgan_fp,0.1899999999999999,1.0,1.0,0.4062172182672827,0.351783655335281,0.4608382821793886,0.7323704333050127,0.7068819031435853,0.7578589634664401,0.5956416464891041,0.5491470746159606,0.6445497630331753,0.806282722513089,0.7767503302509907,0.8333333333333334,0.5912516373233614,229.3329594950192,0.3736196630634367,0.0003174338683631,0.0002657470056321,0.0003586816368158,0.0003266577295958,0.0003245349953882,0.000320885075815,0.0003222945416579,,,,,,,,0.04873203559180178
vnn,mmp,morgan_fp,0.2199999999999999,1.0,1.0,0.3463799005360718,0.2827178277409646,0.4097096585632769,0.8160535117056856,0.7926421404682275,0.8369565217391305,0.3113553113553113,0.257384720223112,0.3684210526315789,0.9653304442036836,0.9523809523809524,0.9760609357997824,0.4630133334063127,236.00744586100336,0.3332457081414759,0.0002786335352353,0.0002643859623931,0.0003325097524095,0.0003112696884199,0.0003083809906151,0.0003069097544997,0.0003082132540992,,,,,,,,0.049353292735467034
vnn,ames,morgan_fp,0.2599999999999999,1.0,1.0,0.4851566025410762,0.4358405582898276,0.5336018403389874,0.7598455598455598,0.7351351351351352,0.7822393822393823,0.8547557840616966,0.8289403572628429,0.8780289472938355,0.6170212765957447,0.5735700786027788,0.6567933250944397,0.5710349823044362,275.6043679260183,0.4271266257856041,0.0003298275102591,0.0002788216602057,0.000364282755414,0.0003444791927933,0.0003360383942257,0.0003368837269023,0.0003367002622573,,,,,,,,0.053184941707066447
vnn,cyp1a2,morgan_fp,0.1999999999999999,1.0,1.0,0.4794643191375201,0.4204300936722888,0.5354888053685803,0.8414886285320469,0.8218497117868023,0.8594073053066851,0.5217391304347826,0.4648312018865611,0.5781107630311552,0.9244791666666666,0.9084709724298664,0.938952914211779,0.5859861035855445,346.34825055708643,0.5776565300766379,0.0003981092557385,0.0003309560419991,0.0004352491404395,0.0004058952188119,0.0004099976654164,0.0004025334086967,0.0003935914414585,,,,,,,,0.05967406108840221
vnn,cyp2d6,morgan_fp,0.2099999999999999,1.0,1.0,0.4639282814785617,0.4025885843256974,0.5259854340699088,0.8637288135593221,0.8461016949152542,0.8806779661016949,0.4486692015209125,0.3884615384615384,0.5073745029120996,0.9537953795379538,0.9414715719063546,0.964550700741962,0.4706682160224991,354.22804211999755,0.595093869138509,0.0004034534706023,0.0003277733421884,0.0004381791544146,0.0004014705112203,0.0004016342443879,0.0004018259084085,0.0004145833086455,,,,,,,,0.060038651206779245
vnn,cyp2c9,morgan_fp,0.1799999999999999,1.0,1.0,0.4030893102682474,0.3307674580556003,0.4777181289779036,0.8909329829172142,0.8745072273324573,0.9053876478318004,0.3837837837837838,0.3149650140607608,0.4558090146134656,0.9611069558713538,0.9496296296296296,0.9709605361131796,0.4385561661832998,373.95719706406817,0.6563252178020775,0.0004312255044691,0.0003384698135778,0.0004464930397924,0.0004187292568385,0.0004128892544191,0.0004128999844891,0.0004127866621944,,,,,,,,0.06141520726951358
vnn,cyp2c19,morgan_fp,0.2199999999999999,1.0,1.0,0.3992294170913157,0.3422920149705562,0.4574264886350167,0.8283485045513654,0.8088426527958388,0.846553966189857,0.4171974522292994,0.3630188294277132,0.4715782023208663,0.9338235294117648,0.9191115943089496,0.9471511147811724,0.468734307371346,382.6686569619924,0.6209426450077444,0.0004037338394068,0.0003422598822042,0.0004508764252066,0.0004204096511937,0.0004168438961729,0.0004155231524957,0.0004161807156051,,,,,,,,0.06222254584747844
vnn,cyp3a4,morgan_fp,0.2399999999999999,1.0,1.0,0.5476118316905558,0.5034009988361161,0.5901113780967241,0.8344827586206897,0.8175066312997348,0.8509283819628647,0.5540796963946869,0.510632727559621,0.5966973305918438,0.9432989690721648,0.9296684506175338,0.9545454545454546,0.5971037716431988,577.299456803943,0.990088847000152,0.0005252460726791,0.0004138424431905,0.0005442365823779,0.0005037585855461,0.0005023318142164,0.0005006191076012,0.0005011285028536,,,,,,,,0.07654461108511576
bhsai_automl,bbb,mordred_desc,,,,0.5160142348754448,0.2885789014821273,0.7038327526132404,0.7647058823529411,0.6470588235294118,0.8529411764705882,0.8421052631578947,0.6944444444444444,0.9397824550848756,0.6666666666666666,0.4814814814814814,0.8214285714285714,0.843,2663.590686617012,0.0057676911819726,8.481898797018563e-05,2.924446202814579e-06,2.9723647981882096e-06,3.3373315818607806e-06,3.382537793368101e-06,2.5798987830057742e-06,1.8511764006689192e-06,Mordred-LightGBM,0.0146222310140728,0.014861823990941,0.0083433289546519,0.0169126889668405,0.0257989878300577,0.0370235280133783,9.865150691174119
bhsai_automl,bbb,ensemble,,,,0.4839285714285714,0.2542372881355932,0.6743295019157087,0.75,0.6323529411764706,0.8382352941176471,0.8421052631578947,0.6923076923076923,0.9393939393939394,0.6333333333333333,0.4444444444444444,0.7906933262836845,0.8626885912866588,2720.833104678022,0.5639365839306265,0.0082931850578033,0.0040020253758411,0.0042764983708038,0.0042667934023775,0.0042099319640081,0.0041219217715086,0.1618858189654536,"Ensemble: Mordred-LightGBM, Mordred-XGBoost, Morgan-LightGBM, Morgan-XGBoost, Mordred-RandomForest",20.010126879205927,21.382491854019463,10.66698350594379,21.049659820040688,41.219217715086415,3237.716379309073,10.077159646955637
bhsai_automl,herg,mordred_desc,,,,0.7086503570174412,0.5717484866307749,0.816463586291873,0.8549618320610687,0.7862595419847328,0.9083969465648856,0.8095238095238095,0.696969696969697,0.8928571428571429,0.8970588235294118,0.8032786885245902,0.9552238805970148,0.72,3490.8733279409357,0.0017592699732631,1.3429541780634691e-05,1.97937679477036e-06,1.9726986065506934e-06,3.520657364279032e-05,2.0007157698273658e-06,1.8858930794522167e-06,1.7066764528863133e-06,Mordred-XGBoost,0.0098968839738518,0.0098634930327534,0.0880164341069758,0.0100035788491368,0.0188589307945221,0.0341335290577262,6.649282529411306
bhsai_automl,herg,ensemble,,,,0.5845177963115236,0.4369845510512254,0.7102957564268415,0.7938931297709924,0.7175572519083969,0.8549618320610687,0.6984126984126984,0.5806451612903226,0.8064516129032258,0.8823529411764706,0.7857142857142857,0.9444444444444444,0.6928774928774929,3617.709471151931,22.46314056403935,0.171474355450682,0.0223855230453889,1.0248868928578216,0.2091421575475484,0.2033327925998252,0.1989418247296009,0.1982589580253931,"Ensemble: Mordred-XGBoost, Mordred-LightGBM, Mordred-RandomForest, Morgan-Bayesian, Morgan-LogisticRegression",111.92761522694492,5124.434464289108,522.855393868871,1016.663962999126,1989.4182472960088,3965.1791605078615,6.890875183146536
bhsai_automl,pgp_substrates,mordred_desc,,,,0.5925925925925926,0.458029197080292,0.7044245096548578,0.7962962962962963,0.7283950617283951,0.8518518518518519,0.8395061728395061,0.7439024390243902,0.9102564102564102,0.7530864197530864,0.6506024096385542,0.8378378378378378,0.452,4149.607938630972,0.1050945101305842,0.0006487315440159,1.8645626632496714e-05,1.8622384406626223e-05,3.732519317418337e-05,1.7651977948844431e-06,1.4881457202136516e-06,1.1673283996060491e-06,Mordred-XGBoost,0.0932281331624835,0.0931119220331311,0.0933129829354584,0.0088259889744222,0.0148814572021365,0.0233465679921209,6.384012213278418
bhsai_automl,pgp_substrates,ensemble,,,,0.5802469135802469,0.4463740723944011,0.7018862137708941,0.7901234567901234,0.7222222222222222,0.845679012345679,0.8024691358024691,0.7023827873640787,0.8795180722891566,0.7777777777777778,0.6738407667131112,0.8604651162790697,0.4296352511502158,4470.669536877889,70.55587962898426,0.4355301211665695,0.0265060319077689,1.0912735223254189,0.244579599888809,0.2334512241033837,0.2349218096524011,0.21303223656615,"Ensemble: Mordred-XGBoost, Mordred-RandomForest, Mordred-LightGBM, Mordred-LogisticRegression, Morgan-LogisticRegression",132.5301595388446,5456.367611627094,611.4489997220226,1167.2561205169186,2349.218096524012,4260.644731323002,6.877953133658291
bhsai_automl,dili,mordred_desc,,,,0.3884559116903844,0.2734331291848197,0.4927409986665352,0.7003610108303249,0.6462093862815884,0.7509025270758123,0.7763157894736842,0.7021276595744681,0.8357267621117176,0.608,0.5178810886654286,0.6893939393939394,0.389,5220.912351457053,0.1802221038378775,0.0006506213134941,4.8586753243580464e-05,4.646043041720986e-05,9.206579476594924e-05,4.8385605169460176e-05,3.0697758682072164e-05,2.6392964157275856e-05,Mordred-XGBoost,0.2429337662179023,0.2323021520860493,0.2301644869148731,0.2419280258473009,0.3069775868207216,0.5278592831455171,4.7035246409523
bhsai_automl,dili,ensemble,,,,0.4040479162793169,0.2911213805047152,0.5083742852819114,0.7075812274368231,0.6534296028880866,0.7581227436823105,0.7763157894736842,0.7034676650338081,0.8381158631402065,0.624,0.5396825396825397,0.7079646017699115,0.3839646929018021,5266.349638890126,57.16884412802756,0.2063857188737457,0.0207080283957999,1.0225551774058026,0.2090778056791983,0.2035664238894358,0.1982002180695068,0.196953614522703,"Ensemble: Mordred-XGBoost, Mordred-RandomForest, Mordred-LightGBM, Mordred-LogisticRegression, Mordred-KNN",103.5401419789996,5112.775887029013,522.6945141979959,1017.8321194471793,1982.002180695068,3939.07229045406,4.744459134135249
bhsai_automl,pgp_inhibitors,mordred_desc,,,,0.7003577714634118,0.6268676164054053,0.765115409558802,0.8571428571428571,0.8220140515222483,0.8875878220140515,0.9163346613545816,0.8744939271255061,0.9458333333333332,0.7727272727272727,0.7045454545454546,0.8314606741573034,0.74,6027.818107497995,0.0039287509862333,9.200821981811132e-06,4.311983566731214e-06,4.491227213293314e-06,4.848147183656693e-06,4.49570519849658e-06,4.233329580165446e-06,4.118152894079685e-06,Mordred-XGBoost,0.021559917833656,0.0224561360664665,0.0121203679591417,0.0224785259924829,0.0423332958016544,0.0823630578815937,3.5271024619648887
