dataset,Descriptor,Model,ROC_AUC,PR_AUC,Accuracy,Sensitivity,Specificity,GMean,Precision,F1,MCC,Kappa
hlm,Mordred,LogisticRegression,0.799,0.665,0.738,0.716,0.75,0.733,0.617,0.663,0.454,0.451
hlm,Mordred,RandomForest,0.845,0.75,0.782,0.598,0.885,0.727,0.746,0.664,0.512,0.505
hlm,Mordred,XGBoost,0.854,0.763,0.787,0.624,0.879,0.74,0.744,0.678,0.526,0.521
hlm,Morgan,Bayesian,0.784,0.671,0.732,0.678,0.762,0.718,0.616,0.645,0.432,0.43
hlm,Morgan,KNN,0.818,0.675,0.767,0.659,0.827,0.738,0.683,0.671,0.491,0.491
hlm,Morgan,LightGBM,0.844,0.745,0.788,0.661,0.859,0.753,0.725,0.691,0.532,0.53
hlm,Morgan,LogisticRegression,0.828,0.723,0.764,0.725,0.786,0.754,0.656,0.688,0.501,0.499
hlm,Morgan,RandomForest,0.834,0.731,0.784,0.67,0.848,0.753,0.713,0.69,0.526,0.524
hlm,Morgan,XGBoost,0.85,0.757,0.792,0.666,0.862,0.758,0.732,0.697,0.541,0.539
hlm,Morgan,vNN,0.7583280616258518,0.703855198452029,0.784474513102129,0.6653107344632768,0.8513453887884268,0.7522688752740977,0.716082284913571,0.6891984017445294,0.5259694080808937,0.5246693600395189
cytotox,Mordred,Bayesian,0.647,0.468,0.631,0.557,0.665,0.608,0.44,0.491,0.212,0.208
cytotox,Mordred,KNN,0.848,0.698,0.813,0.689,0.871,0.775,0.716,0.702,0.566,0.566
cytotox,Mordred,LightGBM,0.877,0.798,0.828,0.634,0.92,0.763,0.788,0.702,0.59,0.583
cytotox,Mordred,LogisticRegression,0.781,0.612,0.719,0.707,0.725,0.716,0.547,0.616,0.409,0.401
cytotox,Mordred,RandomForest,0.866,0.777,0.813,0.621,0.903,0.749,0.75,0.679,0.554,0.549
cytotox,Mordred,XGBoost,0.881,0.802,0.829,0.625,0.925,0.76,0.797,0.7,0.592,0.583
