dataset,Descriptor,Model,Repeat,Fold,ROC_AUC,PR_AUC,Accuracy,Sensitivity,Specificity,GMean,Precision,F1,MCC,Kappa
bbb,Morgan,KNN,3,1,0.7945301542776999,0.7747644583780215,0.6481481481481481,1.0,0.1739130434782608,0.4170288281141495,0.62,0.7654320987654321,0.3283688276260731,0.1946624803767661
bbb,Morgan,KNN,3,2,0.800140252454418,0.7821231052179918,0.6296296296296297,0.967741935483871,0.1739130434782608,0.4102474196159468,0.6122448979591837,0.75,0.2416537654323936,0.157566302652106
bbb,Morgan,KNN,3,3,0.8576437587657784,0.8395962022420499,0.7037037037037037,1.0,0.3043478260869565,0.5516772843673705,0.6595744680851063,0.7948717948717948,0.4480402387109475,0.3343605546995377
bbb,Morgan,KNN,3,4,0.8345170454545454,0.8220303415697674,0.6666666666666666,1.0,0.1818181818181818,0.4264014327112209,0.64,0.7804878048780488,0.3411211461689766,0.2084690553745928
bbb,Morgan,KNN,3,5,0.7159090909090909,0.7251912960306073,0.6481481481481481,1.0,0.1363636363636363,0.3692744729379982,0.6274509803921569,0.7710843373493976,0.2925089696508522,0.1576354679802956
bbb,Morgan,KNN,4,1,0.8316970546984572,0.8133094384707288,0.6666666666666666,0.967741935483871,0.2608695652173913,0.502448423176264,0.6382978723404256,0.7692307692307693,0.3365463544234306,0.25115562403698
bbb,Morgan,KNN,4,2,0.8366058906030857,0.8138645918885911,0.6666666666666666,1.0,0.217391304347826,0.4662524041201569,0.6326530612244898,0.775,0.3708547885348616,0.2418096723868954
bbb,Morgan,KNN,4,3,0.7713884992987377,0.7560780617232231,0.6851851851851852,1.0,0.2608695652173913,0.5107539184552492,0.6458333333333334,0.7848101265822784,0.4104610345325914,0.2883720930232557
bbb,Morgan,KNN,4,4,0.7215909090909091,0.7247368421052631,0.6666666666666666,1.0,0.1818181818181818,0.4264014327112209,0.64,0.7804878048780488,0.3411211461689766,0.2084690553745928
bbb,Morgan,KNN,4,5,0.7159090909090909,0.7198761261261261,0.6296296296296297,1.0,0.0909090909090909,0.3015113445777636,0.6153846153846154,0.7619047619047619,0.236524958395633,0.1059602649006623
bbb,Morgan,KNN,5,1,0.8309957924263675,0.8000958572976579,0.7407407407407407,1.0,0.391304347826087,0.6255432421712243,0.6888888888888889,0.8157894736842105,0.5191967039488062,0.4246575342465754
bbb,Morgan,KNN,5,2,0.6332398316970547,0.6501759202398584,0.6481481481481481,1.0,0.1739130434782608,0.4170288281141495,0.62,0.7654320987654321,0.3283688276260731,0.1946624803767661
bbb,Morgan,KNN,5,3,0.7131837307152874,0.7138317153856754,0.6296296296296297,0.967741935483871,0.1739130434782608,0.4102474196159468,0.6122448979591837,0.75,0.2416537654323936,0.157566302652106
bbb,Morgan,KNN,5,4,0.8082386363636364,0.7980169340463459,0.6481481481481481,1.0,0.1363636363636363,0.3692744729379982,0.6274509803921569,0.7710843373493976,0.2925089696508522,0.1576354679802956
bbb,Morgan,KNN,5,5,0.7713068181818181,0.7619701726844584,0.6666666666666666,1.0,0.1818181818181818,0.4264014327112209,0.64,0.7804878048780488,0.3411211461689766,0.2084690553745928
bbb,Morgan,Bayesian,1,1,0.8597475455820477,0.8949313950282578,0.7777777777777778,0.8387096774193549,0.6956521739130435,0.763839125980518,0.7878787878787878,0.8125,0.5420178553280652,0.5404255319148936
bbb,Morgan,Bayesian,1,2,0.9095371669004207,0.9022685729415512,0.8518518518518519,0.8387096774193549,0.8695652173913043,0.8539981047832319,0.896551724137931,0.8666666666666667,0.7023888518078689,0.7004160887656032
