Metric,Value
ROC_AUC,0.7982942430703625
PR_AUC,0.8096680492304125
Accuracy,0.7153846153846154
Sensitivity,0.7402985074626866
Specificity,0.6888888888888889
GMean,0.7141312318139243
Precision,0.7167630057803468
F1,0.7283406754772394
MCC,0.4298825328613337
Kappa,0.42963525115021584
