Metric,Value
ROC_AUC,0.9386478964258699
PR_AUC,0.81498642100008
Accuracy,0.9073053066850448
Sensitivity,0.6335282651072125
Specificity,0.9660946002511511
GMean,0.7823351174698461
Precision,0.8004926108374384
F1,0.7072905331882481
MCC,0.6594162352345028
Kappa,0.6531086722165392
