SmoothFactor,TanimotoDistance,Fold,Repeat,Sensitivity,Specificity,Accuracy,kappa,Coverage,AreaUnderTheCurve,PR_AUC,GMean,Precision,F1,MCC
0.1,0.5,1,1,0.49074074074074076,0.9413407821229051,0.8822815533980582,0.4553532490187528,0.6765188834154352,0.7160407614318229,0.45968545388742577,0.6796721803255321,0.5578947368421052,0.5221674876847291,0.4565712040205466
0.1,0.5,2,1,0.5321100917431193,0.9415760869565217,0.8887573964497042,0.48897266972052106,0.69376026272578,0.7368430893498206,0.5131452782659157,0.7078291729037184,0.5742574257425742,0.5523809523809524,0.48943577929080556
0.1,0.5,3,1,0.6060606060606061,0.9351351351351351,0.8963051251489869,0.5206942064101805,0.6888341543513957,0.7705978705978707,0.5027127048960803,0.7528270496924023,0.5555555555555556,0.5797101449275363,0.5213354548361151
0.1,0.5,4,1,0.5428571428571428,0.9322493224932249,0.8837485172004745,0.47125686417572316,0.6921182266009852,0.7375532326751839,0.48512398800537776,0.7113917371175879,0.5327102803738317,0.5377358490566038,0.47128430283877915
0.1,0.5,5,1,0.5865384615384616,0.9569444444444445,0.9101941747572816,0.5717015059563948,0.6770747740345111,0.771741452991453,0.5465228573009414,0.7491893767414366,0.6630434782608695,0.6224489795918368,0.573085410690821
0.11,0.5,1,1,0.49074074074074076,0.9413407821229051,0.8822815533980582,0.4553532490187528,0.6765188834154352,0.7160407614318229,0.46348915279878955,0.6796721803255321,0.5578947368421052,0.5221674876847291,0.4565712040205466
0.11,0.5,2,1,0.5504587155963303,0.9415760869565217,0.8911242603550296,0.5038484612537175,0.69376026272578,0.746017401276426,0.517811652699966,0.7199296934161735,0.5825242718446602,0.5660377358490566,0.5041124386084946
0.11,0.5,3,1,0.6060606060606061,0.9351351351351351,0.8963051251489869,0.5206942064101805,0.6888341543513957,0.7705978705978707,0.5061104543344583,0.7528270496924023,0.5555555555555556,0.5797101449275363,0.5213354548361151
0.11,0.5,4,1,0.5428571428571428,0.9336043360433605,0.8849347568208779,0.4745233367392187,0.6921182266009852,0.7382307394502516,0.4845108091332868,0.7119085491996415,0.5377358490566038,0.5402843601895735,0.4745302998056319
0.11,0.5,5,1,0.5865384615384616,0.9569444444444445,0.9101941747572816,0.5717015059563948,0.6770747740345111,0.771741452991453,0.5489064872515479,0.7491893767414366,0.6630434782608695,0.6224489795918368,0.573085410690821
0.12,0.5,1,1,0.48148148148148145,0.9399441340782123,0.8798543689320388,0.4441234191016137,0.6765188834154352,0.7107128077798469,0.46535385836756743,0.6727300306852712,0.5473684210526316,0.5123152709359606,0.4453113371429897
0.12,0.5,2,1,0.5504587155963303,0.9429347826086957,0.8923076923076924,0.5072696864647347,0.69376026272578,0.7466967491025129,0.5210891642552494,0.720448935959994,0.5882352941176471,0.5687203791469194,0.507634447977303
0.12,0.5,3,1,0.6060606060606061,0.9351351351351351,0.8963051251489869,0.5206942064101805,0.6888341543513957,0.7705978705978707,0.5095699602907257,0.7528270496924023,0.5555555555555556,0.5797101449275363,0.5213354548361151
0.12,0.5,4,1,0.5428571428571428,0.9336043360433605,0.8849347568208779,0.4745233367392187,0.6921182266009852,0.7382307394502516,0.4892083071154689,0.7119085491996415,0.5377358490566038,0.5402843601895735,0.4745302998056319
0.12,0.5,5,1,0.5769230769230769,0.9555555555555556,0.9077669902912622,0.5601258709822433,0.6770747740345111,0.7662393162393162,0.5507350577227507,0.7424837043882183,0.6521739130434783,0.6122448979591837,0.5614817548423534
0.13,0.5,1,1,0.49074074074074076,0.9441340782122905,0.8847087378640777,0.4621262093227792,0.6765188834154352,0.7174374094765156,0.45982850478789344,0.6806798490483437,0.5698924731182796,0.527363184079602,0.4638018611969318
0.13,0.5,2,1,0.5596330275229358,0.9429347826086957,0.893491124260355,0.5146343642699411,0.69376026272578,0.7512839050658158,0.5235488938275227,0.726427867821703,0.5922330097087378,0.5754716981132075,0.5149039925979096
0.13,0.5,3,1,0.6060606060606061,0.9405405405405406,0.901072705601907,0.5349006511938552,0.6888341543513957,0.7733005733005733,0.5132809319956123,0.7549997152480059,0.5769230769230769,0.5911330049261084,0.5351107261124861
