SmoothFactor,TanimotoDistance,Sensitivity,Specificity,Accuracy,kappa,Coverage,AreaUnderTheCurve,PR_AUC,GMean,Precision,F1,MCC
0.21999999999999995,1,0.47700253769219286,0.9424098647745943,0.8549268292682928,0.468734307371346,1.0,0.7097062012333936,0.6073214099252049,0.6701964887804804,0.6582818206863305,0.5526215404743366,0.4776956724442754
0.20999999999999996,1,0.48513434841021047,0.9379245377642171,0.8528130081300813,0.46729728627533773,1.0,0.7115294430872138,0.5992170906384451,0.6742967829104287,0.6449154219737029,0.5532431324672941,0.4743530581868789
0.22999999999999995,1,0.46454844006568147,0.9459339499820462,0.8554471544715447,0.46430300668996544,1.0,0.7052411950238638,0.6158543422424873,0.6626037445071631,0.6667304564937018,0.546990803009739,0.4753494061989069
0.19999999999999996,1,0.49136587550380656,0.9321172876283097,0.8492682926829268,0.46164212062893,1.0,0.7117415815660582,0.5908011233200429,0.6764940396635454,0.6272362412341004,0.550522770395208,0.4669035128003364
0.23999999999999994,1,0.45261233019853714,0.9500588363915017,0.8565528455284553,0.46143835553358636,1.0,0.7013355832950193,0.623126098223598,0.6554504389891399,0.6784272570370008,0.5424545353919161,0.47501462108517506
0.24999999999999992,1,0.4418816241230034,0.9539433621998752,0.8576910569105691,0.45917189259812086,1.0,0.6979124931614393,0.6296284217049759,0.6490086755161965,0.6907782419059881,0.5384971641798282,0.47545706214573563
0.18999999999999995,1,0.4948275862068965,0.9271112796162896,0.8458536585365853,0.45516743199297444,1.0,0.7109694329115931,0.5824452734908876,0.6770424595835359,0.6118852433715016,0.546717591462388,0.45914403351679184
0.2599999999999999,1,0.4297671294223018,0.9575078886501732,0.8583089430894308,0.4548766565736042,1.0,0.6936375090362376,0.6349967311736132,0.6412841351297317,0.7022668877157058,0.5327142160682442,0.47421881930287874
0.17999999999999997,1,0.5003672189879087,0.9231463126453106,0.8436747967479675,0.45263061218983175,1.0,0.7117567658166096,0.5743398725276628,0.6793766383376167,0.601820457815796,0.5460281443223733,0.4556711674450557
0.2699999999999999,1,0.41575160471712197,0.9621535363018329,0.8594471544715446,0.4507517573864723,1.0,0.6889525705094774,0.638217444582762,0.6322170827110994,0.7196234380026878,0.5263804259002358,0.47450220168590407
0.16999999999999998,1,0.5060747872816838,0.9190615063961758,0.841430894308943,0.4500610972247104,1.0,0.7125681468389299,0.5670102415534342,0.6817694765524106,0.5920148364953159,0.5453281461039474,0.4522966066495304
0.15999999999999998,1,0.5086714434990297,0.9149366199867203,0.8385691056910569,0.44471323428512377,1.0,0.7118040317428749,0.560359663103857,0.6819670315702675,0.5810343055157942,0.5421259602847964,0.4463500059587684
