SmoothFactor,TanimotoDistance,Sensitivity,Specificity,Accuracy,kappa,Coverage,AreaUnderTheCurve,PR_AUC,GMean,Precision,F1,MCC
0.21999999999999995,1,0.4485416288771994,0.9561990723176149,0.8775408682117671,0.4630133334063127,1.0,0.7023703505974072,0.5939624527784042,0.65369796200395,0.6534014722584931,0.5303861817557335,0.4746002580771812
0.22999999999999995,1,0.43315980409940147,0.9612474757982596,0.8794231013059465,0.4603640966599389,1.0,0.6972036399488306,0.598779852978535,0.6439995977368855,0.6734367213203329,0.52544024193936,0.4759307858446813
0.19999999999999996,1,0.46717576637039726,0.9467959465909508,0.8724808611289638,0.45868866934274466,1.0,0.706985856480674,0.5835204407439717,0.6639557508437558,0.6178881219420231,0.5305989247274354,0.46544483619023574
0.20999999999999996,1,0.4577253763830945,0.9504580278794258,0.874111567266956,0.45822760540398577,1.0,0.7040917021312602,0.5884176922271287,0.6583636101518191,0.629373903582687,0.5285347122911142,0.4666875783433245
0.18999999999999995,1,0.4736513694902957,0.9424904845243486,0.8698464518216358,0.45490391184500373,1.0,0.7080709270073221,0.5790953917579234,0.6669918423283596,0.6025388861959695,0.5289274960458914,0.4600910661345761
0.17999999999999997,1,0.48094503899873026,0.9387289037927279,0.867797117036765,0.4533158490951596,1.0,0.7098369713957291,0.5749599922393996,0.6709082487839565,0.5911011606889816,0.5290665800764325,0.4572646667241279
0.23999999999999994,1,0.4137329947397062,0.9658995949038662,0.8803427726988541,0.45287817313776435,1.0,0.6898162948217862,0.6029735586646185,0.6310608859209758,0.6912920856992713,0.5160099638653236,0.4730967115601375
0.16999999999999998,1,0.4847233810992201,0.9350664553476361,0.8652876186478841,0.44881296559416556,1.0,0.7098949182234281,0.5710713558637405,0.672272679404787,0.578817802077714,0.5264367015115734,0.451838495868366
0.15999999999999998,1,0.4898512606566298,0.9326908296515684,0.8640747541786352,0.44826036573608596,1.0,0.7112710451540991,0.5676953148849772,0.6749817077425009,0.5726229946618738,0.5268850014586716,0.4507321232359295
0.14999999999999997,1,0.49335933248684927,0.9312555532438287,0.8634056478797497,0.4482497029617567,1.0,0.7123074428653391,0.5645932114511667,0.6768439217030415,0.5690725022514208,0.5274380965402842,0.4503946939302798
0.1,1,0.5079357881371304,0.9251679741521742,0.860519755337242,0.4481566987116239,1.0,0.7165518811446523,0.5552180007476812,0.6845998150700146,0.5558138330280371,0.529676674939883,0.44941664795912667
0.13999999999999999,1,0.4968692182115001,0.9288796215839136,0.8619419997114413,0.4462880596274574,1.0,0.7128744198977068,0.5618950027944803,0.6783158266024226,0.562677621891756,0.5265480453785153,0.4481184134990999
0.11,1,0.5044240885180483,0.9256629012715858,0.8603943197667047,0.4461571841851577,1.0,0.715043494894817,0.5560043773861277,0.6823497600992361,0.5556649607390574,0.5276667716775131,0.4475150600312736
0.12,1,0.5014529294395067,0.926702138075365,0.8608125112035081,0.4457255990927574,1.0,0.7140775337574358,0.5578100254123721,0.680683258907813,0.5576110019997089,0.5268720898132604,0.44724051800480263
0.13,1,0.49956647923090874,0.9273455800462618,0.8610636883916353,0.44548274531486953,1.0,0.7134560296385852,0.5597607839780664,0.6796458683482415,0.5589159774987752,0.5264138191973691,0.4470919681664707
0.24999999999999992,1,0.39028115363685834,0.971591623933716,0.8815144519790314,0.443411998983371,1.0,0.6809363887852871,0.6070267312311838,0.6146340453781332,0.7177781344326452,0.5037935135217296,0.470827550854147
0.2599999999999999,1,0.35950117903138035,0.9768871238174498,0.8812211277396677,0.4248650043848839,1.0,0.668194151424415,0.6094651688105914,0.5913865153838485,0.7425084794321455,0.4826338516939322,0.4614124596741898
0.2699999999999999,1,0.33008888082713583,0.9815889314518597,0.8806355285651202,0.40503220680802055,1.0,0.6558389061394978,0.611383561711121,0.5678001156522309,0.769333831168095,0.45997328496143863,0.4519061619035871
0.2799999999999999,1,0.2890622165789951,0.9866372125469653,0.8785443964970728,0.3718005964444723,1.0,0.6378497145629802,0.6127257682181032,0.5325879352764548,0.8008397667073406,0.4230039473010008,0.4332551551853868
