SmoothFactor,TanimotoDistance,Sensitivity,Specificity,Accuracy,kappa,Coverage,AreaUnderTheCurve,PR_AUC,GMean,Precision,F1,MCC
0.20999999999999996,1,0.47622926426012674,0.9472116105442697,0.871220338983051,0.4706682160224991,1.0,0.7117204374021984,0.5914858647819681,0.6712981956484478,0.6350847240879891,0.5437956511898325,0.4775494038404964
0.19999999999999996,1,0.4867368421052632,0.9428463400435089,0.8692542372881356,0.4704913841963013,1.0,0.7147915910743861,0.5852219324299364,0.6771022139870698,0.6215116631436998,0.545466752434519,0.47553518891438573
0.18999999999999995,1,0.49346596858638747,0.9387640612392887,0.8669152542372882,0.4676968281438639,1.0,0.716115014912838,0.5790280618127785,0.6803274215671056,0.6087135816816626,0.5445680593951012,0.47150421810361837
0.21999999999999995,1,0.4617371176632681,0.9516576891258387,0.8726101694915255,0.4673303916650994,1.0,0.7066974033945534,0.5975053670727191,0.6624936585136103,0.6482582221093989,0.5387377479203995,0.47669162191863035
0.16999999999999998,1,0.5092289887021217,0.9319327144038974,0.8637288135593221,0.46699000742666263,1.0,0.7205808515530095,0.5675744646629782,0.6886378267426609,0.5909865169003177,0.5465970771151158,0.46905264206515407
0.17999999999999997,1,0.5010305869385505,0.935166630919917,0.8651186440677967,0.46667254860264046,1.0,0.7180986089292338,0.5729643062658374,0.6842155261541382,0.5987241954816126,0.5450586920353668,0.46949405020388335
0.15999999999999998,1,0.5125907963626344,0.9291439368406001,0.8619322033898306,0.46408607498344895,1.0,0.7208673666016172,0.5622058120469811,0.6898859992501924,0.5829512670162802,0.545010458143569,0.4657088841210658
0.13999999999999999,1,0.5235161201432902,0.9228387413058797,0.858406779661017,0.46040495378693225,1.0,0.723177430724585,0.5534104881631134,0.694820343825791,0.5672725767941132,0.5439800875014749,0.46123709327524404
0.14999999999999997,1,0.5169986222099752,0.9253447314397769,0.859457627118644,0.4599985840571588,1.0,0.721171676824876,0.5574417610580155,0.6914203598410666,0.5722213988420348,0.5427107346477552,0.46111402837119236
0.22999999999999995,1,0.4415783962524112,0.9561845349347877,0.8731525423728813,0.4588402117647363,1.0,0.6988814655935994,0.6027884904156366,0.6493864903645359,0.6609614921081217,0.5287065658628409,0.47168680879340336
0.13,1,0.5247770735739874,0.9208984485910673,0.8569830508474577,0.45752432406942056,1.0,0.7228377610825274,0.549502617386268,0.6949285957932702,0.5617073913791342,0.542073370134354,0.4582113974324403
0.12,1,0.5287682557178286,0.9180284135592528,0.8552203389830508,0.455125051931633,1.0,0.7233983346385406,0.5466314808212732,0.6964601025867728,0.5548466278995935,0.5409255816786136,0.45564436478303205
0.11,1,0.531710112978782,0.9163311578882863,0.854271186440678,0.45421876849726395,1.0,0.7240206354335342,0.544027907097089,0.6977496933031432,0.551228494075881,0.5407017447320122,0.45467118220694197
0.1,1,0.5333888123449987,0.9152399219699522,0.8536271186440678,0.453454070894223,1.0,0.7243143671574755,0.5410755620537644,0.6984260472360024,0.5488005645215527,0.5403917384341624,0.45386892244758203
0.23999999999999994,1,0.4216246899972444,0.9597816384267346,0.8729491525423728,0.44795791274378666,1.0,0.6907031642119894,0.607552150962627,0.6356636656345461,0.6694991806083185,0.516679901324888,0.46420211885108786
0.24999999999999992,1,0.3972488288784789,0.964834472122642,0.8732542372881356,0.43572891296205285,1.0,0.6810416505005605,0.6111251447633044,0.6185958698627161,0.6863840313931568,0.5023782312172274,0.45757343767417125
