SmoothFactor,TanimotoDistance,Sensitivity,Specificity,Accuracy,kappa,Coverage,AreaUnderTheCurve,PR_AUC,GMean,Precision,F1,MCC
0.17999999999999997,0.4,0.74149513026981,0.8772211098445603,0.8316296159595653,0.6207424622277834,0.8569495793200079,0.8093581200571852,0.796083685971261,0.8062556158204014,0.752972377761038,0.7467735820163681,0.6211618148098661
0.19999999999999996,0.4,0.7397520417979382,0.8778897867858971,0.8314885424708466,0.6201434111889133,0.8569495793200079,0.8088209142919177,0.7941320617110696,0.8056299671624536,0.7534903935475404,0.746188283738518,0.6205351499316855
0.18999999999999995,0.4,0.7406398943830835,0.877069382047118,0.8312409825497418,0.6198035017838632,0.8569495793200079,0.8088546382151007,0.7969778095771574,0.8057186842593029,0.7524631830096277,0.7461049562606641,0.6202083700605524
0.16999999999999998,0.4,0.7404722546635414,0.8764007390090253,0.8307469470172626,0.6188348273687047,0.8569495793200079,0.8084364968362833,0.7979571898838366,0.8053560446238059,0.7514542024138513,0.745570970094755,0.619193850656974
0.20999999999999996,0.4,0.7370941595546331,0.877879385333365,0.8305964531059638,0.6178948582919137,0.8569495793200079,0.8074867724439991,0.7949454908364063,0.8041910421227605,0.7528126431586892,0.7445317947138791,0.6182747112467837
0.15999999999999998,0.4,0.7414926311000748,0.8746149197738134,0.8298993004701516,0.6173807943883616,0.8569495793200079,0.8080537754369442,0.7922402082416784,0.8051003851924942,0.7490630496070152,0.7449084683786249,0.6177212575175218
0.21999999999999995,0.4,0.7343248646131965,0.8780278242417887,0.8297542053128126,0.6156890902591966,0.8569495793200079,0.8061763444274926,0.7982223072698149,0.8027161960473806,0.7523181622951866,0.742831943936446,0.6161262214688743
0.14999999999999997,0.4,0.7411835538019897,0.8729754617673248,0.8287128543214375,0.6150044828644851,0.8569495793200079,0.8070795077846573,0.7947535627944413,0.8041884039428059,0.7465762711526844,0.7435287679982423,0.6153296842487758
0.22999999999999995,0.4,0.7319960634721185,0.8784708057440205,0.8292574567007317,0.6142583182061866,0.8569495793200079,0.8052334346080695,0.7991117713163763,0.8016272360386298,0.7523860406424753,0.7416514142734107,0.6147367413342532
0.23999999999999994,0.4,0.7297835670567505,0.8796578453600332,0.8293086864084012,0.6139392787278158,0.8569495793200079,0.8047207062083919,0.7955088944927623,0.8009515286907509,0.7537070311608018,0.7411364772818823,0.6144788901129515
0.13999999999999999,0.4,0.7409978262128604,0.8718569934163927,0.8279185660078476,0.6134074934349945,0.8569495793200079,0.8064274098146265,0.7921843055724809,0.8035819986956109,0.7448487958792469,0.7426031774326001,0.6137047189243582
0.12,0.4,0.7443695560151495,0.8693866610484811,0.827416745650585,0.6130807374039016,0.8569495793200079,0.8068781085318153,0.7922981281993507,0.804301600578064,0.7420126264464266,0.7429428247772242,0.6133130746179484
0.11,0.4,0.7455555364618738,0.8681070370514229,0.8269674830382533,0.6124190988536068,0.8569495793200079,0.8068312867566483,0.7902529769964063,0.8043390230866707,0.7404362706803772,0.7427365491318052,0.6126625613451686
0.24999999999999992,0.4,0.7281662170789146,0.8795066522054885,0.8286654642363069,0.612354786450542,0.8569495793200079,0.8038364346422016,0.7988632080825957,0.7999846587081741,0.7530759123105096,0.739980570105465,0.6129216814661657
0.2599999999999999,0.4,0.7277119644161506,0.8795023592114869,0.8285152188221215,0.6119751998393077,0.8569495793200079,0.8036071618138187,0.793833242711778,0.7997357451602735,0.7529927416367489,0.7397010428556254,0.6125530623603176
