SmoothFactor,TanimotoDistance,Fold,Repeat,Sensitivity,Specificity,Accuracy,kappa,Coverage,AreaUnderTheCurve,PR_AUC,GMean,Precision,F1,MCC
0.1,1,1,1,0.6836158192090396,0.819620253164557,0.77079107505071,0.5026115371909682,1.0,0.7516180361867983,0.6835010020120031,0.7485354840001969,0.6797752808988764,0.6816901408450704,0.5026164062304512
0.1,1,2,1,0.6666666666666666,0.8607594936708861,0.7910750507099391,0.5374434090308711,1.0,0.7637130801687764,0.7504764064215691,0.7575220540995868,0.7283950617283951,0.696165191740413,0.538666958899889
0.1,1,3,1,0.5988700564971752,0.8317460317460318,0.7479674796747967,0.44042705409718774,1.0,0.7153080441216034,0.6011987407203436,0.7057675205214868,0.6666666666666666,0.6309523809523809,0.4418872620097791
0.1,1,4,1,0.5988700564971752,0.7904761904761904,0.7215447154471545,0.39177043854899835,1.0,0.6946731234866828,0.6501404180431615,0.6880352613421408,0.6162790697674418,0.6074498567335244,0.3918669982978599
0.1,1,5,1,0.7231638418079096,0.8,0.7723577235772358,0.5142539800074046,1.0,0.7615819209039548,0.7198316631598276,0.7606123016664453,0.6701570680628273,0.6956521739130435,0.5152045608654243
0.11,1,1,1,0.6949152542372882,0.819620253164557,0.7748478701825557,0.5126245758409703,1.0,0.7572677537009226,0.6937930448735256,0.7546963737860932,0.6833333333333333,0.6890756302521008,0.5126690543019597
0.11,1,2,1,0.672316384180791,0.8607594936708861,0.7931034482758621,0.542513510071144,1.0,0.7665379389258385,0.7535570894570943,0.7607251214690485,0.7300613496932515,0.7,0.5435862129297043
0.11,1,3,1,0.6045197740112994,0.8285714285714286,0.7479674796747967,0.4418400395235219,1.0,0.716545601291364,0.6213140956221697,0.7077342811763604,0.6645962732919255,0.6331360946745562,0.44299042280605533
0.11,1,4,1,0.6045197740112994,0.7904761904761904,0.7235772357723578,0.39696101227491487,1.0,0.6974979822437449,0.6433781762541778,0.6912730922204188,0.6184971098265896,0.6114285714285714,0.39702346527236704
0.11,1,5,1,0.7231638418079096,0.8063492063492064,0.7764227642276422,0.5217644875669369,1.0,0.764756524078558,0.717486852149347,0.7636246394022727,0.6772486772486772,0.6994535519125683,0.5224760171347765
0.12,1,1,1,0.6892655367231638,0.8259493670886076,0.7768762677484787,0.5152149038117716,1.0,0.7576074519058857,0.700153840780904,0.7545186769142872,0.6892655367231638,0.6892655367231638,0.5152149038117715
0.12,1,2,1,0.6779661016949152,0.8607594936708861,0.795131845841785,0.5475708042196317,1.0,0.7693627976829007,0.7546514839444661,0.7639147586091918,0.7317073170731707,0.7038123167155426,0.5485016157941289
0.12,1,3,1,0.6045197740112994,0.834920634920635,0.7520325203252033,0.44945242419239456,1.0,0.7197202044659672,0.6125517656626102,0.7104407318978783,0.6729559748427673,0.6369047619047619,0.4509425551460535
0.12,1,4,1,0.615819209039548,0.7936507936507936,0.7296747967479674,0.4109958954417799,1.0,0.7047350013451709,0.6434546017101503,0.6991032856450048,0.6264367816091954,0.6210826210826211,0.41103217323470387
