Descriptor,Model,ROC_AUC,PR_AUC,Accuracy,Sensitivity,Specificity,GMean,Precision,F1,MCC,Kappa
Mordred,Bayesian,0.728,0.313,0.842,0.296,0.916,0.52,0.325,0.309,0.221,0.22
Mordred,KNN,0.767,0.365,0.887,0.35,0.96,0.579,0.54,0.424,0.376,0.364
Mordred,LightGBM,0.861,0.566,0.903,0.36,0.976,0.591,0.669,0.466,0.444,0.419
Mordred,LogisticRegression,0.825,0.425,0.796,0.72,0.806,0.761,0.334,0.456,0.39,0.35
Mordred,RandomForest,0.863,0.545,0.894,0.484,0.95,0.677,0.565,0.521,0.464,0.462
Mordred,XGBoost,0.858,0.56,0.904,0.384,0.974,0.61,0.662,0.484,0.456,0.435
Morgan,Bayesian,0.816,0.458,0.865,0.485,0.916,0.666,0.437,0.459,0.383,0.382
Morgan,KNN,0.765,0.401,0.899,0.376,0.97,0.603,0.627,0.469,0.435,0.417
Morgan,LightGBM,0.844,0.551,0.903,0.419,0.969,0.636,0.644,0.507,0.469,0.456
Morgan,LogisticRegression,0.843,0.517,0.851,0.649,0.878,0.755,0.419,0.509,0.44,0.426
Morgan,RandomForest,0.867,0.557,0.896,0.516,0.947,0.699,0.568,0.54,0.483,0.482
Morgan,XGBoost,0.858,0.565,0.903,0.429,0.966,0.643,0.632,0.511,0.47,0.459
